CONTEXT,TOPIC
"A recent court case in London over a painting—Portrait of a Man—bearing Frans Hals’s signature has put Sotheby’s in the unusual position of retrospectively trying to prove that there were doubts over the authenticity of the painting when the auction house brokered the sale eight years ago.
The two-week hearing—which started on 1 April under Mr Justice Knowles— between Sotheby’s and Fairlight Arts Ventures also called into question the definition of a scholarly attribution and the independence of scientific testing.
In 2011, Sotheby’s negotiated the private sale of the painting to the US collector Richard Hedreen. Five years later, when suspicions were raised over whether it was genuine, Sotheby’s suggested to Hedreen that the work should be tested by the Massachusetts-based laboratory Orion Analytical (which was subsequently bought by the auction house). Those tests concluded it was “a modern fake” and, consequently, Sotheby’s repaid the Seattle property developer the full $11.2m purchase price.
",Arts
"With investors betting Tesla will soon raise capital, the stock fell 14% for the week to its lowest since January 2017, before the launch of the Model 3 sedan aimed at making the electric car maker profitable.
It was the worst weekly drop for Tesla since August last year, when Musk told the New York Times in a tearful interview that he was under major emotional stress.
In the options market, Tesla contracts changed hands at twice the usual pace, with sentiment leaning toward defensive bets, according to options analytics firm Trade Alert.
Tesla’s $1.8 billion junk bond sank half a cent to yield 8.42%, more than 3 percentage points above the bond’s coupon rate of 5.3%. Its spread, or the premium investors demand for the added risk of holding Tesla debt rather than a safer U.S. Treasury security, widened by about 15 basis points to a near-record 611 basis points.

One positive development for Tesla: a U.S. District Court judge on Friday granted a request by Musk and the Securities and Exchange Commission for a second extension to resolve a dispute over Musk’s use of Twitter.
On Wednesday, Tesla posted a worse-than-expected loss of $702 million for the March quarter. Musk said Tesla would return to profit in the third quarter and that there was “some merit” to raising capital.
",Tech
"Stephen Moore, during an interview on ABC’s “This Week,” said there were a handful of reporters dedicated to digging up negative information on his personal life and previous statements.
Trump has not formally nominated Moore to be a Fed governor, which would give him a role in setting interest rates for the world’s biggest economy.
Moore said the Republican president asked him to appear on the Sunday news show, where he denounced negative news reports as a “smear campaign” and “character assassination.”
Republicans have a 53-47 majority in the Senate, giving them the final say on whether Moore’s promised nomination is confirmed. Democratic Senators have criticized Moore for his policy positions, including his longtime support of tax cuts to stimulate the economy, as well as his comments about women.
“If I become a liability to any of these senators, I would withdraw,” Moore told ABC. “I don’t think it’s going to come to that. I think most fair-minded people think this has been kind of a sleaze campaign against me.

“I just think the perception is very different from the reality in terms of my attitude toward women.”
",Politics
"Stronger economic data recently signals a continuation of the 3% GDP growth rate, Kevin Hassett, an economic advisor to President Donald Trump, said Monday on CNBC.
“The first quarter is usually a little bit low. I think there’s almost more upside than downside risk going forward on the economy,” said Hassett, chairman of the Council of Economic Advisers. “Our internal numbers at CEA got up to around 3% for the first quarter last week with some of the good news on retail sales.”

The Trump White House has used 3% growth as a yardstick for success of the president’s economic agenda, which included tax cuts and business deregulation. The economy nudged past that number when measured from the fourth quarter of 2017 through Q4 of 2018.
Last week, economists surveyed by CNBC/Moody’s Analytics Rapid Update raised their first-quarter growth estimates by 0.3 percentage point to a median 2.4%, following a sharp increase in March retail sales. Their median forecast for Q1 was as low as 1% earlier in the quarter after the longest government shutdown ever. Sentiment was also muted coming into 2019 after stocks suffered their worst year in about a decade.
",Economics
"U.S. retail sales surged in March at the fastest pace since late 2017, as spending on autos, gasoline, furniture, and clothing jumped.
The Commerce Department said that sales increased a seasonally adjusted 1.6% from February, the strongest increase since September 2017.

The gains mark a sharp rebound from a lackluster period of sales dating back to December. It’s a sign that the healthy job market has likely made consumers more eager to spend in ways that boost overall economic growth.
Sales at gas stations climbed 3.5% in March, while spending at auto dealers jumped 3.1%. Clothiers reported a 2% gain and furniture stores enjoyed a 1.7% bump.
Excluding autos and gas, retail sales increased by a still solid 0.9%.
During the past year, retail spending has grown 3.6%.
",Ecomics
"The U.S. goods and services deficit with its global trading partners fell to $49.4 billion in February, its lowest level since June 2018 and well below estimates, the Commerce Department reported Wednesday.
Economists surveyed by Dow Jones expected the U.S. trade deficit in February to increase to $53.8 billion from $51.1 billion in January.

The decline was due in large part to a 28.2 percent decrease in its goods deficit with China as exports to the nation surged. Exports to China rose $1.6 billion to $9.2 billion while imports fell $1.5 billion to $39.3 billion. That brought the total deficit with China to $30.1 billion.
The report helped boost the view of Wall Street economists on first-quarter GDP growht, which now likely will come in above 2 percent.
Overall, exports for the month rose $2.3 billion to $209.7 billion, while imports increased $600 million to $259.1 billion.
On a year-to-date basis, the goods and services deficit fell 7.6 percent, or $8.3 billion, from the same period in 2018. Exports rose $11.1 billion, or 2.7 percent, while imports increased $2.8 billion, or 0.5 percent.
",Economics
"The artist Bob and Roberta Smith has submitted a work to the Royal Academy’s Summer Show (10 June-12 August) criticising Hertfordshire County Council’s decision to consign more than 450 works from its collection to auction.
The works are drawn from the Hertfordshire Schools Art Loan Collection—launched in the 1940s and comprising 1,496 works—which enabled children across the region to access works of art. The first auction of works from the collection of the Hertfordshire County Council, which was held on 21 March at Cheffins in Cambridge, raised more than £444,000 in total. A second auction took place yesterday at Cheffins; the auction house has not released details of the sale.
Bob and Roberta Smith told the leader of the Conservative-run council, David Williams, earlier this year in an open letter that “your council will be labelled as misunderstanding the needs of young people”.
His painting put forward to the Royal Academy, entitled Memo to the Leader of Hertfordshire County Council, is emblazoned with the words “David Williams Hartford’s Art in Schools Program was to inspire children, not for you to sell”. An RA spokeswoman says that the “work has been submitted for inclusion in the Summer Exhibition 2019”; Bob and Roberta Smith is a Royal Academician.
",Arts
"As the gallery landscape undergoes considerable remodelling, most art fairs are adapting too, allowing unorthodox exhibitors with no fixed abode and no regular programme to participate.
Art Brussels has come up with its own solution this year: the creation of a new section, dubbed Invited, dedicated to nine galleries that are challenging the traditional gallery model, including pop-ups, collaborations and nomadic operations.
The key, says the fair’s managing director Anne Vierstraete, was to invite the galleries, rather than getting them to apply via the usual process and approved by the selection committee. The new section came together just a few weeks before the fair opened on Thursday (until 28 April).
The impetus partly came from Vierstraete’s desire to make Art Brussels more “daring and cutting edge”, and partly to boost the struggling middle and lower tiers of the market. Prices of booths in the Invited section are half of that in Discovery, which supports emerging artists.
However, some dealers have questioned the thinking behind the new initiative. “I was invited the day before [Art Brussels] sent out the list of fair participants, so what does that mean? Do they not really care about this section? Weren’t they ready with their product?” asks the Antwerp-based dealer Simon Delobel, who adapts the nature of his gallery to each artist he exhibits.
Delobel’s booth, which he considers a gallery, is titled Paid by the Artistbecause his artist, Yannick Ganseman, stumped up the €4,000 participation fee. “When Art Brussels called me I had a cash flow problem, I couldn’t pay immediately and Yannick offered to finance the project,” he says.
",Arts
"President Donald Trump defended his equivocating comments following white nationalist violence in Charlottesville, Virginia, in 2017, saying Friday that he was referring to supporters of the Confederate general Robert E. Lee when he said there were ""fine people"" on both sides.
""I have answered that question, and if you look at what I said, you will see that question was answered perfectly,"" Trump said Friday at the White House.
He was making the comments a day after former Vice President Joe Biden used the episode as the opening salvo of his presidential campaign.
In a campaign announcement video released Thursday, Biden said that by claiming there were ""fine people"" on both sides in the Charlottesville riot, ""the President of the United States assigned a moral equivalence between those spreading hate and those with the courage to stand against it.""



Joe Biden takes Trump head-on over Charlottesville in announcement video
Responding to the white nationalist and neo-Nazi protests, which led to the death of one person, Trump said almost two years ago that there were ""people that were very fine people on both sides.""
""I was talking about people that went because they felt very strongly about the monument to Robert E. Lee, a great general,"" Trump said Friday. ""Whether you like it or not, he was one of the great generals.""
Trump also said that opinion was shared by some of the military brass he consults at the White House.
",Politics
"The White House on Monday had instructed Kline, who now works at the Defense Department, to defy a committee subpoena because Cummings would not allow a White House attorney to attend Kline's deposition, citing committee rules.

Kline's personal counsel and attorneys from the White House Counsel's office will now be permitted to attend the interview.
""Carl and I will attend Wednesday voluntarily, as we have offered from the beginning. I hope the session is productive,"" Robert Driscoll, Kline's attorney, said in a statement.
Kline's testimony has been of high interest for Democrats after a career White House official told committee investigators that Kline greenlighted security clearances for White House officials despite red flags raised in the vetting process.
The committee's top Republican, Ohio Rep. Jim Jordan, sent a letter Friday asking White House counsel Pat Cipollone to allow Kline to sit down for a voluntary transcribed interview to avoid ""unnecessary conflict"" and ""de-escalate Chairman Cummings' orchestrated interbranch confrontation.""
Cipollone offered to make Kline available for an interview limited to questions regarding White House personnel security and practices consistent with past offers to the panel, which Cummings had previously rejected.
In his letter to Kline, Cummings, however, stressed that the interview would not be limited and that Kline will be expected to answer questions about ""specific White House officials and allegations of retaliation against the whistleblower.""

""If you answer all of these questions, there would be no need for the Committee to pursue contempt against you in the future,"" Cummings warned.
",Politics
"Reported Chelsea, Barcelona and Juventus target Gabriel Barbosa has hinted he could be set to leave Santos by saying ""soon you will know something.""
Barbosa, 19, scored on Saturday as Santos beat Ponte Preta to take his tally in the current Brazilian season to five goals in 10 appearances.
He told a postmatch news conference: ""I played as if it was my last game here. Soon you will know something.""
To add to speculation about his future the Brazil international posted an Instagram picture of himself kissing the Santos badge, alongside the message: ""My heart is Alvinegro and it will always beat for you. Santos are my life. I will love you until death.
",Sports
"The Brazilian national team's squad selection has not entirely been in the hands of its coaches since 2012, alleges a report out of Brazil.
In a shocking exposé in Saturday's O Estadao, the newspaper revealsBrazil's football federation, CBF, entered into a multimillion dollar secret contract with marketing firm ISE in 2006, and since the deal's renewal in December of 2011, has given powers of player call-ups to the Cayman Islands-based company and its business partners.
According to the paper, ISE and its holders have stipulated that a certain group of ""A Team"" players must feature in all international competitions, and that any potential substitutes must meet a certain marketability standard.
States the document: ""CBF will guarantee and ensure that A Team players that are playing in official competitions will participate in any and every match.""

",Sports
"entire reason that the Galaxy Fold exists is because of the screen. Unlike other phones, where screens are an afterthought to camera quality and battery life, Samsungdesigned the entire phone around the fact that its display bends in half. The perils of foldable phone design are sucking up all the oxygen in the room, after five early production Galaxy Fold review units experienced major problems. That's important, but so is the Fold's screen on a working model like mine.
Before the Galaxy Fold screens started breaking, it was the plastic crease running down the center of the Fold that caused the most hand-wringing. How bad did it really look? Would it worsen over time? Creasegate threatened to take down the Fold and its ilk before foldable phones ever really got started. 
Let's also remember the notch. The thick thumb-shaped cut-out housing two front-facing cameras and two sensors inspired sneers when Samsung first showed off the Fold prototype in late February. Onlookers fretted that it looked cheap and would get in the way.
",Tech
"Google workers on Friday held a town hall meeting to discuss alleged retaliation from the search giant over employees' activism and organizing efforts.
The company's employees booked rooms for viewing the town hall from Google offices all over the world, according to an employee who attended the meeting. At the gathering, Google workers pledged to protect each other from retaliation and brainstormed ideas to help. Some of that action could take place as soon as next week, that employee said.
That employee also said it was the first big town hall meeting that Google's temporary workers, vendors and contractors -- known as TVCs in Google parlance -- were able to attend, since the gathering was held by employees and not management.
The meeting was called after two workers who helped to organize a massive employee walkout said management was unfairly targeting them. In November, roughly 20,000 Googlers walked out of the company's offices worldwide to protest its handling of sexual assault allegations directed at key executives. The demonstration drew international attention.
",tech
